cluster,18-34,35-64,65+
0,0.36046511627906974,0.03558718861209965,0.0035842293906810036
1,,0.0035587188612099642,0.25089605734767023
2,0.11395348837209303,0.3202846975088968,0.5268817204301075
3,0.5255813953488372,0.6405693950177936,0.21863799283154123
